id,name,state_id
711,Huehuetlán el Grande,21
712,Huehuetoca,15
713,Huejúcar,14
714,Huejotitán,8
715,Huejotzingo,21
716,Huejuquilla El Alto,14
717,Huejutla de Reyes,13
718,Huetamo,16
719,Hueyapan,21
720,Hueyapan de Ocampo,30
721,Hueyotlipan,29
722,Hueypoxtla,15
723,Hueytamalco,21
724,Hueytlalpan,21
725,Huhó,31
726,Huichapan,13
727,Huiloapan,30
728,Huimanguillo,27
729,Huimilpan,22
730,Huiramba,16
731,Huitiupán,7
732,Huitzilac,17
733,Huitzilan de Serdán,21
734,Huitziltepec,21
735,Huitzuco,12
736,Huixquilucan,15
737,Huixtán,7
738,Huixtla,7
739,Hunucmá,31
740,Ignacio de La Llave,30
741,Ignacio Zaragoza,8
742,Iguala de La Independencia,12
743,Igualapa,12
744,Ilamatlán,30
745,Imuris,26
746,Indé,10
747,Indaparapeo,16
748,Irapuato,11
749,Irimbo,16
750,Isidro Fabela,15
751,Isla,30
752,Isla Mujeres,23
753,Iturbide,19
754,Ixcamilpa de Guerrero,21
755,Ixcaquixtla,21
756,Ixcateopan de Cuauhtémoc,12
757,Ixcatepec,30
758,Ixhuacán de los Reyes,30
759,Ixhuatán,7
760,Ixhuatlán de Madero,30
761,Ixhuatlán del Café,30
762,Ixhuatlán del Sureste,30
763,Ixhuatlancillo,30
764,Ixil,31
765,Ixmatlahuacan,30
766,Ixmiquilpan,13
767,Ixpantepec Nieves,20
768,Ixtacamaxtitlán,21
769,Ixtacomitán,7
770,Ixtacuixtla de Mariano Matamoros,29
771,Ixtaczoquitlán,30
772,Ixtapa,7
773,Ixtapaluca,15
774,Ixtapan de La Sal,15
775,Ixtapan Del Oro,15
776,Ixtapangajoya,7
777,Ixtenco,29
778,Ixtepec,21
779,Ixtlán,16
780,Ixtlán de Juárez,20
781,Ixtlán del Río,18
782,Ixtlahuaca,15
783,Ixtlahuacán,6
784,Ixtlahuacán de los Membrillos,14
785,Ixtlahuacán del Río,14
786,Izamal,31
787,Izúcar de Matamoros,21
788,Iztacalco,9
789,Iztapalapa,9
790,Jáltipan,30
791,Jacala de Ledezma,13
792,Jacona,16
793,Jala,18
794,Jalacingo,30
795,Jalapa,27
796,Jalcomulco,30
797,Jalostotitlán,14
798,Jalpa,32
799,Jalpa de Méndez,27
800,Jalpan,21
801,Jalpan de Serra,22
802,Jaltenco,15
803,Jaltocán,13
804,Jamapa,30
805,Jamay,14
806,Janos,8
807,Jantetelco,17
808,Jaral Del Progreso,11
809,Jaumave,28
810,Jerécuaro,11
811,Jerez,32
812,Jesús Carranza,30
813,Jesús María,1
814,Jesús María,14
815,Jilotepec,30
816,Jilotepec,15
817,Jilotlán de los Dolores,14
818,Jilotzingo,15
819,Jiménez,28
820,Jiménez,8
821,Jiménez,5
822,Jiménez,16
823,Jiménez del Teul,32
824,Jiquilpan,16
825,Jiquipilas,7
826,Jiquipilco,15
827,Jitotol,7
828,Jiutepec,17
829,Jocotepec,14
830,Jocotitlán,15
831,Jojutla,17
832,Jolalpan,21
833,Jonacatepec,17
834,Jonotla,21
835,Jonuta,27
836,Jopala,21
837,Joquicingo,15
838,José Azueta,30
839,José Azueta,12
840,José Maróa Morelos,23
841,José Sixto Verduzco,16
842,Juárez,7
843,Juárez,8
844,Juárez,5
845,Juárez,16
846,Juárez,19
847,Juárez Hidalgo,13
848,Juan Aldama,32
